level,control,student_count,awards_per_value,pell_value
4-year,Public,11502,20.9,100
4-year,Private not-for-profit,322,29.9,100
4-year,Public,5696,20.9,100
4-year,Public,5356,11.6,100
4-year,Public,29440,18.3,100
2-year,Public,1906,15.9,99.8
4-year,Public,4322,15.4,98.9
4-year,Public,19799,21.5,98.8
4-year,Private not-for-profit,1188,23.5,98.6
2-year,Public,1837,13.6,98.6
4-year,Private not-for-profit,600,12.3,98.5
4-year,Private for-profit,599,15,98
2-year,Public,2333,17.4,97.8
2-year,Public,4362,11.8,97.8
4-year,Private not-for-profit,2617,21.5,97.6
2-year,Public,5797,14.5,97.4
2-year,Public,4686,17.1,97.3
2-year,Public,5281,18.8,97
2-year,Public,1745,23.8,97
4-year,Private for-profit,320,50,97
4-year,Private not-for-profit,1110,22.2,96.7
2-year,Public,1383,19.3,96.7
4-year,Public,7588,18.1,96.6
2-year,Public,1091,20.1,96.5
2-year,Public,8542,15.8,96.4
2-year,Public,11186,12.8,96.2
4-year,Private not-for-profit,347,14.5,96.2
2-year,Public,3028,13.5,96.2
4-year,Public,1999,15.3,96
2-year,Public,1570,20.9,95.6
2-year,Public,418,26.1,95.4
4-year,Private not-for-profit,1666,12,95
4-year,Private not-for-profit,1481,21.7,94.9
4-year,Public,2618,15.9,94.6
2-year,Public,3854,16.3,94.5
4-year,Public,5881,17.4,94.2
2-year,Public,2834,23.7,94.1
4-year,Private not-for-profit,1861,16.9,94.1
2-year,Public,1349,19.5,94.1
2-year,Private for-profit,102,9,94
2-year,Public,517,25,93.2
2-year,Public,3896,11.3,93.1
4-year,Private not-for-profit,3013,19.9,93
4-year,Private not-for-profit,582,5.2,93
2-year,Public,5068,10.7,92.9
2-year,Public,2295,20.7,92.8
4-year,Public,11307,17.3,92.6
4-year,Private not-for-profit,1292,18.5,92.5
4-year,Private not-for-profit,161,18.7,92.2
4-year,Private not-for-profit,863,11.8,91.9
4-year,Private not-for-profit,932,13.1,91.6
2-year,Public,1351,17.7,91.6
4-year,Public,16316,21.4,91.4
4-year,Private not-for-profit,2584,13.9,91.2
2-year,Public,3490,16.6,91.2
4-year,Public,16380,16.1,91
4-year,Public,7989,16.6,91
4-year,Public,2645,16.2,91
4-year,Private not-for-profit,387,22.9,90.9
4-year,Private for-profit,2191,34.2,90.5
2-year,Public,471,5.1,90.5
4-year,Private for-profit,2761,27,90.5
4-year,Private for-profit,676,73.6,90.5
2-year,Private for-profit,691,60.4,90.3
2-year,Private for-profit,440,76.4,90.3
4-year,Private not-for-profit,209,24.8,90.2
4-year,Private for-profit,828,18.4,90.1
4-year,Public,38730,23.7,90
2-year,Public,8000,20.7,89.9
4-year,Public,31670,21.3,89.8
4-year,Private for-profit,216,12.7,89.8
2-year,Public,6445,20.2,89.7
4-year,Private for-profit,684,27,89.7
2-year,Public,4453,22.5,89.7
2-year,Public,6602,17.3,89.6
4-year,Private not-for-profit,1879,20.6,89.6
2-year,Public,20872,21,89.5
4-year,Private for-profit,35205,17.7,89.5
4-year,Private for-profit,2238,15.2,89.5
2-year,Private for-profit,93,24.1,89.4
2-year,Public,6440,23.8,89.4
2-year,Public,23678,22.6,89.3
4-year,Private for-profit,409,35.9,89.2
4-year,Private for-profit,498,36.1,89.2
2-year,Public,5227,21.1,89.2
4-year,Public,1466,10.2,89.2
4-year,Public,22160,20.1,89.1
2-year,Public,3233,8.6,89.1
2-year,Public,12676,22.7,89
4-year,Private for-profit,3099,23.4,88.9
2-year,Public,30082,22.1,88.8
4-year,Private for-profit,1726,24.6,88.7
2-year,Private for-profit,930,23.1,88.6
4-year,Private not-for-profit,545,26.1,88.6
2-year,Private for-profit,621,44.1,88.4
2-year,Public,21472,7.4,88.3
2-year,Public,10313,27.9,88.2
2-year,Public,4718,28,88.2
4-year,Private not-for-profit,635,16.3,88.1
2-year,Private for-profit,2337,38.3,88.1
4-year,Private for-profit,1497,30,87.9
2-year,Public,8197,19,87.8
4-year,Public,9970,18.9,87.7
4-year,Private not-for-profit,1027,10.4,87.7
4-year,Private not-for-profit,592,18.6,87.7
4-year,Public,21009,17.4,87.7
4-year,Public,2521,14.5,87.6
2-year,Public,4380,26.6,87.6
4-year,Public,10098,23.6,87.6
4-year,Public,10482,21,87.5
4-year,Public,3706,21,87.4
2-year,Public,2248,21.2,87.3
4-year,Public,9754,23.8,87.1
4-year,Private not-for-profit,827,16.1,87.1
2-year,Public,1597,20.4,87.1
4-year,Private not-for-profit,200,15.3,87
2-year,Public,1386,33.1,87
2-year,Public,3246,22.9,86.9
2-year,Public,1353,26.1,86.9
4-year,Private not-for-profit,4428,19.8,86.9
4-year,Public,3199,14.9,86.7
4-year,Private not-for-profit,1431,20.8,86.7
4-year,Private not-for-profit,2080,27.7,86.6
2-year,Public,1793,11.2,86.6
2-year,Public,1425,23.6,86.6
2-year,Public,2167,26.5,86.5
4-year,Private not-for-profit,1543,18.9,86.5
2-year,Public,1501,33.4,86.5
2-year,Public,1489,23.2,86.5
4-year,Private not-for-profit,585,14.9,86.4
2-year,Public,2149,31.6,86.3
4-year,Private not-for-profit,556,17.4,86.2
2-year,Public,2029,19.7,86
2-year,Public,1601,27.6,85.9
2-year,Public,10527,25,85.9
2-year,Public,1460,32.5,85.8
2-year,Public,957,23.8,85.8
4-year,Private not-for-profit,574,19.3,85.6
2-year,Public,1632,27,85.5
4-year,Public,2960,18.8,85.5
2-year,Public,1730,30.5,85.5
4-year,Public,7170,17.1,85.3
4-year,Private for-profit,10508,14,85.2
4-year,Private for-profit,510,36.9,85.2
2-year,Public,5799,7.7,85.2
2-year,Public,10885,20.9,85
2-year,Private not-for-profit,258,32.4,85
2-year,Private for-profit,1770,16.1,85
2-year,Public,29701,13.8,85
2-year,Public,14262,14.2,85
4-year,Private not-for-profit,1767,16.9,84.9
